id,faithfulness,answer_relevancy,context_relevancy,label
asqa_0,0.6666666666666666,0.7262346866813935,0.0909090909090909,1
asqa_1,1.0,0.9574900605605712,0.1111111111111111,1
asqa_2,1.0,0.9658197822972192,0.1111111111111111,1
asqa_3,1.0,0.6416075189654483,0.125,1
asqa_4,1.0,0.8009383278381311,0.2142857142857142,1
asqa_5,0.75,0.919927900618932,0.1111111111111111,1
asqa_6,1.0,0.0,0.2142857142857142,1
asqa_7,0.0,0.8852896906805304,0.25,1
asqa_8,1.0,0.8179245765868393,0.0833333333333333,1
asqa_9,1.0,0.6147297456908927,0.0952380952380952,1
asqa_10,1.0,0.8850218435031033,0.0769230769230769,1
asqa_11,0.5,0.1659624959411404,0.3333333333333333,1
asqa_12,0.5,0.8558011820781143,0.1111111111111111,1
asqa_13,0.25,0.933876019943817,0.1111111111111111,1
asqa_14,1.0,0.5529477071169189,0.1,1
asqa_15,1.0,0.7168813184929094,0.1818181818181818,1
asqa_16,1.0,0.9467090240911152,0.0769230769230769,1
asqa_17,0.4285714285714285,0.7245724396518326,0.4444444444444444,1
asqa_18,1.0,0.8722259365408075,0.2,1
asqa_19,1.0,0.9209654773527826,0.1666666666666666,1
asqa_20,0.5,0.7218824767865751,0.3333333333333333,1
asqa_21,0.4285714285714285,0.5657716463663188,0.1111111111111111,1
asqa_22,1.0,0.769319621050172,0.0909090909090909,1
asqa_23,1.0,0.5429096760382967,0.125,1
asqa_24,1.0,0.8676399532231006,0.125,1
asqa_25,1.0,0.90217503216304,0.0588235294117647,1
asqa_26,1.0,0.6178888222142457,0.1818181818181818,1
asqa_27,1.0,0.7989698426186713,0.2857142857142857,1
asqa_28,1.0,0.6761868430196968,0.1111111111111111,1
asqa_29,1.0,0.7297208129460153,0.0714285714285714,1
asqa_30,0.5714285714285714,0.8354617366301929,0.3333333333333333,1
asqa_31,1.0,0.8186939492561859,0.0666666666666666,1
asqa_32,0.9090909090909092,0.4194025649948734,0.1,1
asqa_33,1.0,0.0,0.0714285714285714,1
asqa_34,0.5454545454545454,0.5803014826885444,0.3333333333333333,1
asqa_35,1.0,0.5920209238251302,0.0833333333333333,1
asqa_36,0.25,0.6193819466980811,0.3333333333333333,1
asqa_37,1.0,0.4822607604936452,0.0833333333333333,1
asqa_38,0.0,0.7564347132794867,0.3333333333333333,1
asqa_39,0.3333333333333333,0.6087033496376345,0.3333333333333333,1
asqa_40,1.0,0.8762019772284805,0.0769230769230769,1
asqa_41,0.875,0.924202548753686,0.0869565217391304,1
asqa_42,1.0,0.8313021357105459,0.0769230769230769,1
asqa_43,1.0,0.8679956500174759,0.2727272727272727,1
asqa_44,1.0,0.6274917697347911,0.1,1
asqa_45,1.0,0.8997526695175649,0.3,1
asqa_46,0.2857142857142857,0.8384735778101892,0.1666666666666666,1
asqa_47,1.0,0.859465345386473,0.25,1
asqa_48,1.0,0.7017472061830202,0.2222222222222222,1
asqa_49,1.0,0.7973731133320937,0.1428571428571428,1
asqa_50,1.0,0.6560293280293455,0.125,1
asqa_51,1.0,0.4130263169858885,0.2222222222222222,1
asqa_52,1.0,0.5775020270174543,0.2222222222222222,1
asqa_53,1.0,0.6930276763063784,0.1,1
asqa_54,1.0,0.78960638671828,0.0833333333333333,1
asqa_55,1.0,0.7885971969789484,0.1428571428571428,1
asqa_56,1.0,0.8656654376443328,0.2,1
asqa_57,1.0,0.8777733382780118,0.1428571428571428,1
asqa_58,1.0,0.7792214780351859,0.0769230769230769,1
asqa_59,1.0,0.851287077994594,0.1538461538461538,1
asqa_60,0.5,0.8195515606345257,0.3333333333333333,1
asqa_61,1.0,0.8745765668588573,0.1538461538461538,1
asqa_62,1.0,0.4980433217155962,0.1111111111111111,1
asqa_63,1.0,0.7154554893770868,0.0833333333333333,1
asqa_64,1.0,0.7636990683416037,0.0625,1
asqa_65,1.0,0.7171132175589131,0.25,1
asqa_66,1.0,0.8093230957920797,0.0769230769230769,1
asqa_67,1.0,0.6172383048154603,0.0625,1
asqa_68,1.0,0.4347878786817651,0.1,1
asqa_69,1.0,0.4894422987338125,0.1,1
asqa_70,1.0,0.7041918752271584,0.05,1
asqa_71,1.0,0.4412787574906958,0.1666666666666666,1
asqa_72,1.0,0.9088024399507388,0.2,1
asqa_73,1.0,0.7045255275579692,0.2666666666666666,1
asqa_74,1.0,0.7872371986737045,0.1,1
asqa_75,0.5714285714285714,0.7681055124892336,0.1111111111111111,1
asqa_76,1.0,0.919580534195987,0.0833333333333333,1
asqa_77,1.0,0.8599173457973132,0.125,1
asqa_78,1.0,0.6484239647993827,0.0769230769230769,1
asqa_79,1.0,0.7304693829917861,0.1764705882352941,1
asqa_80,1.0,0.9412841714935302,0.0909090909090909,1
asqa_81,1.0,0.6249820091685738,0.1,1
asqa_82,0.8888888888888888,0.7787418766215852,0.2307692307692307,1
asqa_83,0.8,0.769060749878404,0.1111111111111111,1
asqa_84,1.0,0.906794460520098,0.1,1
asqa_85,1.0,0.7184792006721782,0.3,1
asqa_86,1.0,0.6497545742405925,0.0833333333333333,1
asqa_87,0.4,0.9137334690284356,0.1666666666666666,1
asqa_88,1.0,0.7924763817363116,0.0625,1
asqa_89,1.0,0.5291865153834837,0.1,1
asqa_90,0.5,0.2436570159662229,0.3333333333333333,1
asqa_91,0.5,0.6393399653731467,0.1666666666666666,1
asqa_92,1.0,0.8916306416477031,0.1111111111111111,1
asqa_93,0.5384615384615384,0.6982680578961685,0.4444444444444444,1
asqa_94,1.0,0.8558992676970015,0.3,1
asqa_95,1.0,0.6277689876128036,0.2142857142857142,1
asqa_96,0.3333333333333333,0.8519455894385096,0.3333333333333333,1
asqa_97,0.0,0.7513376204967179,0.1111111111111111,1
asqa_98,1.0,0.8652081855962072,0.0833333333333333,1
asqa_99,1.0,0.778437229219131,0.2222222222222222,1
asqa_100,1.0,0.8552352423217636,0.1,1
asqa_101,1.0,0.6919611672000592,0.1176470588235294,1
asqa_102,0.8333333333333334,0.9294210340499692,0.4285714285714285,1
asqa_103,1.0,0.6310051438400159,0.3333333333333333,1
asqa_104,0.8333333333333334,0.894596004204356,0.0909090909090909,1
asqa_105,1.0,0.7562076045844807,0.0909090909090909,1
asqa_106,1.0,0.7344060014551622,0.0769230769230769,1
asqa_107,1.0,0.9192582553891016,0.25,1
asqa_108,0.2857142857142857,0.5027594027151725,0.3333333333333333,1
asqa_109,1.0,0.3652127965925924,0.2222222222222222,1
asqa_110,1.0,0.9588950363373456,0.1666666666666666,1
asqa_111,1.0,0.0,0.0454545454545454,1
asqa_112,1.0,0.9139654882292144,0.0909090909090909,1
asqa_113,1.0,0.6760595090555798,0.1428571428571428,1
asqa_114,1.0,0.5979409540527801,0.0714285714285714,1
asqa_115,1.0,0.8822894886681093,0.0909090909090909,1
asqa_116,1.0,0.7251179748200967,0.2222222222222222,1
asqa_117,1.0,0.5914183206241046,0.2307692307692307,1
asqa_118,1.0,0.8731593346534097,0.3333333333333333,1
asqa_119,1.0,0.4984088393607237,0.1,1
asqa_120,1.0,0.8677558136524114,0.2727272727272727,1
asqa_121,1.0,0.7449303860184812,0.1111111111111111,1
asqa_122,1.0,0.4422883893437339,0.1111111111111111,1
asqa_123,1.0,0.5827198409399829,0.2,1
asqa_124,1.0,0.7940560792910268,0.3125,1
asqa_125,1.0,0.0,0.1818181818181818,1
asqa_126,1.0,0.4553274097976654,0.1111111111111111,1
asqa_127,1.0,0.8229283108103768,0.0769230769230769,1
asqa_128,0.4,0.5713794512952827,0.1666666666666666,1
asqa_129,1.0,0.8655419936896659,0.0909090909090909,1
asqa_130,1.0,0.8248754167293358,0.2,1
asqa_131,1.0,0.8429291642133342,0.0909090909090909,1
asqa_132,1.0,0.8541410583911812,0.2,1
